Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Free-by-cyclic,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaabbaabbb,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaabbaabAb,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaabbaabAB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabbaaBab,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbaaBAb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbaaBAB,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaabbaaBBB,,2,False,Z^1,False,,True,False,,,,,
aaabbabaaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabbabaBB,,2,False,Z^1,False,,True,False,,,,,
aaabbabbaB,,2,False,Z^1,False,,True,False,,,,,
aaabbabbAb,,2,False,Z^1,False,,True,False,,,,,
aaabbabbAB,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaabbabAbb,,2,False,Z^1,False,,True,False,,,,,
aaabbabAAb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbabAAB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabbabABB,,2,False,Z^1,False,,True,False,,,,,
aaabbaBaab,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbaBabb,,2,False,Z^1,False,,True,True,,,,,
aaabbaBaBB,,2,False,Z^1,False,,True,False,,,,,
aaabbaBAbb,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaabbaBAAb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbaBAAB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbaBABB,,2,False,Z^1,False,,True,False,,,,,
aaabbaBBab,,2,False,Z^1,False,,True,False,,,,,
aaabbaBBaB,,2,False,Z^1,False,,True,False,,,,,
aaabbaBBAb,,2,False,Z^1,False,,True,False,,,,,
aaabbaBBAB,,2,False,Z^1,False,,True,False,,,,,
aaabbbaaBB,,2,False,Z^1,False,,True,False,,,,,
aaabbbaBab,,2,False,Z^1,False,,True,False,,,,,
aaabbbaBaB,,2,False,Z^1,False,,True,False,,,,,
aaabbbaBAb,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaabbbaBAB,,2,False,Z^1,False,,True,False,,,,,
aaabbbaBBB,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaabbbAAAB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabbbAABB,,2,False,Z^1,False,,True,False,,,,,
